| Mes | Valor | Tasa de depreciacion | Depreciacion acumulada |
| 0   | 30000.000000 | 12.0000 | 0.000000 |
| 1   | 29700.000000 | 12.0000 | 300.000000 |
| 2   | 29400.000000 | 12.0000 | 600.000000 |
| 3   | 29100.000000 | 12.0000 | 900.000000 |
| 4   | 28800.000000 | 12.0000 | 1200.000000 |
| 5   | 28500.000000 | 12.0000 | 1500.000000 |
| 6   | 28200.000000 | 12.0000 | 1800.000000 |
| 7   | 27900.000000 | 12.0000 | 2100.000000 |
| 8   | 27600.000000 | 12.0000 | 2400.000000 |
| 9   | 27300.000000 | 12.0000 | 2700.000000 |
| 10   | 27000.000000 | 12.0000 | 3000.000000 |
| 11   | 26700.000000 | 12.0000 | 3300.000000 |
| 12   | 26400.000000 | 12.0000 | 3600.000000 |
| 13   | 26100.000000 | 12.0000 | 3900.000000 |
| 14   | 25800.000000 | 12.0000 | 4200.000000 |
| 15   | 25500.000000 | 12.0000 | 4500.000000 |
| 16   | 25200.000000 | 12.0000 | 4800.000000 |
| 17   | 24900.000000 | 12.0000 | 5100.000000 |
| 18   | 24600.000000 | 12.0000 | 5400.000000 |
| 19   | 24300.000000 | 12.0000 | 5700.000000 |
| 20   | 24000.000000 | 12.0000 | 6000.000000 |
| 21   | 23700.000000 | 12.0000 | 6300.000000 |
| 22   | 23400.000000 | 12.0000 | 6600.000000 |
| 23   | 23100.000000 | 12.0000 | 6900.000000 |
| 24   | 22800.000000 | 12.0000 | 7200.000000 |
| 25   | 22500.000000 | 12.0000 | 7500.000000 |
| 26   | 22200.000000 | 12.0000 | 7800.000000 |
| 27   | 21900.000000 | 12.0000 | 8100.000000 |
| 28   | 21600.000000 | 12.0000 | 8400.000000 |
| 29   | 21300.000000 | 12.0000 | 8700.000000 |
| 30   | 21000.000000 | 12.0000 | 9000.000000 |
| 31   | 20700.000000 | 12.0000 | 9300.000000 |
| 32   | 20400.000000 | 12.0000 | 9600.000000 |
| 33   | 20100.000000 | 12.0000 | 9900.000000 |
| 34   | 19800.000000 | 12.0000 | 10200.000000 |
| 35   | 19500.000000 | 12.0000 | 10500.000000 |
| 36   | 19200.000000 | 12.0000 | 10800.000000 |
| 37   | 18900.000000 | 12.0000 | 11100.000000 |
| 38   | 18600.000000 | 12.0000 | 11400.000000 |
| 39   | 18300.000000 | 12.0000 | 11700.000000 |
| 40   | 18000.000000 | 12.0000 | 12000.000000 |
| 41   | 17700.000000 | 12.0000 | 12300.000000 |
| 42   | 17400.000000 | 12.0000 | 12600.000000 |
| 43   | 17100.000000 | 12.0000 | 12900.000000 |
| 44   | 16800.000000 | 12.0000 | 13200.000000 |
| 45   | 16500.000000 | 12.0000 | 13500.000000 |
| 46   | 16200.000000 | 12.0000 | 13800.000000 |
| 47   | 15900.000000 | 12.0000 | 14100.000000 |
| 48   | 15600.000000 | 12.0000 | 14400.000000 |
| 49   | 15300.000000 | 12.0000 | 14700.000000 |
| 50   | 15000.000000 | 12.0000 | 15000.000000 |
| 51   | 14700.000000 | 12.0000 | 15300.000000 |
| 52   | 14400.000000 | 12.0000 | 15600.000000 |
| 53   | 14100.000000 | 12.0000 | 15900.000000 |
| 54   | 13800.000000 | 12.0000 | 16200.000000 |
| 55   | 13500.000000 | 12.0000 | 16500.000000 |
| 56   | 13200.000000 | 12.0000 | 16800.000000 |
| 57   | 12900.000000 | 12.0000 | 17100.000000 |
| 58   | 12600.000000 | 12.0000 | 17400.000000 |
| 59   | 12300.000000 | 12.0000 | 17700.000000 |
| 60   | 12000.000000 | 12.0000 | 18000.000000 |
